Stop Code,Stop Name,Latitude,Longitude,Current Cleaning Category,abc_stop_name
6247,Rigsbee Ave at Broadway St,36.00095,-78.90001,B,Rigsbee Ave at Corporation St (SB)
6248,Rigsbee Ave at Seminary St,35.99942,-78.89997,A,Rigsbee Ave at Seminary St
6250,Renaissance Center at Renaissance Pkwy,35.9012664,-78.9384825,,
6251,Renaissance Center at Southpoint Shopping Center,35.904003,-78.937392,C,Renaissance Shopping Center
6252,Renaissance Pkwy at Renaissance Village Park-and-Ride,35.902963,-78.953911,A,Renaissance Pkwy at Renaissance Village
6256,Fayetteville St at Cook Rd (SB),35.9528158,-78.9056188,A,Fayetteville St at Cook Rd (SB)
6257,Fayetteville St at Cook Rd (Hillside HS),35.95325,-78.90559,A,Fayetteville St at Cook Rd (Hillside HS)
6258,Fayetteville Rd at Tralea Dr (Mt Zion Church),35.955957,-78.907293,B,Fayetteville Rd at Tralea Dr (Mt Zion C
6261,Miami Blvd at Stirrup Creek Dr (PBM Graphics),35.920121,-78.848985,C,Miami Blvd at Stirrup Creek Dr (PBM Gra
6263,Miami Blvd at Ellis Rd (Bethesda Elementary),35.941329,-78.839052,C,Miami Blvd at Ellis Rd (Bethesda Elemen
6264,Holloway St at Rummel St,35.987727,-78.847973,B,Holloway St at Rummel St
6265,Holloway St at Lynn Rd,35.9868,-78.84421,B,Holloway St at Lynn Rd
6266,Miami Blvd at New Haven Dr,35.936355,-78.842472,C,Miami Blvd at New Haven Dr
6267,TW Alexander Dr at Miami Blvd (EB),35.923375,-78.84512,C,TW Alexander Dr at Miami Blvd (EB)
6268,TW Alexander Dr at Centerpoint (Wesco),35.9217641,-78.8331177,C,TW Alexander Dr at Center Point (EB)
6269,TW Alexander Dr at Roche Dr (LabCorp),35.918783,-78.824637,C,TW Alexander Dr at Roche Dr (LabCorp)
6270,TW Alexander Dr at Creekside Townhomes,35.922404,-78.837375,B,TW Alexander Dr at Creekside Townhomes
6272,TW Alexander Dr at Miami Blvd (WB),35.9239,-78.845353,A,TW Alexander Dr at Miami Blvd (WB)
6273,Miami Blvd at Methodist St,35.936412,-78.842152,C,Miami Blvd at Methodist St
6274,NC 54 at S Alston Ave (EB),35.9006,-78.889397,C,NC 54 at S Alston Ave (EB)
6275,S Alston Ave at Kestrel Heights School (SB),35.898656,-78.889065,C,S Alston Ave at Kestrel Heights School
6276,S Alston Ave at Duke Health (SB),35.887359,-78.885144,C,S Alston Ave at Duke Health (SB)
6277,S Alston Ave at Falls Pointe Apts (SB),35.884218,-78.885886,A,S Alston Ave at Falls Pointe Apts (
6278,NC 55 at Sedwick Rd (NB),35.89021,-78.89596,C,NC 55 at Sedwick Rd (NB)
6279,NC 55 at Golden Corral (NB),35.8971,-78.89687,B,NC 55 at Golden Corral (NB)
6281,TW Alexander Dr at Stirrup Creek Dr,35.9217954,-78.841755,C,TW Alexander Dr at Stirrup Creek Dr
6283,NC 55 at Allendown Dr (NB),35.8991122,-78.8964078,B,NC 55 at Allendown Dr (NB)
6286,Chapel Dr at Duke University Rd (Duke News),35.998067,-78.933441,C,Chapel Dr at Duke University Rd (Duke N
6287,S Alston Ave at Englert Dr (SB),35.8955,-78.88905,C,S Alston Ave at Englert Dr (SB)
6289,E Geer St at Midland Terrace (EB),36.01428,-78.86316,C,E Geer St at Midland Terrace (EB)
6290,E Geer St at Landon Farms Ln (EB),36.01986,-78.84947,C,E Geer St at Landon Farms Ln (EB)
6291,Glenn View Station at Walmart,36.027267,-78.843064,A,Glenn View Station at Walmart
6293,E Geer St at Landon Farms Ln (WB),36.02022,-78.84947,C,E Geer St at Landon Farms Ln (WB)
6294,E Geer St at Midland Terrace (WB),36.01463,-78.86303,C,E Geer St at Midland Terrace (WB)
6297,Roxboro Rd at Liberty St,35.994534,-78.89762,A,Roxboro Rd at Liberty St
6299,Pettigrew St at Mangum St (WB),35.994282,-78.901765,B,Pettigrew St at Mangum St (WB)
6303,Angier Ave at Miami Blvd (SB),35.946195,-78.83876,C,Angier Ave at Miami Blvd (SB)
6312,Angier Ave at Passenger Pl,35.949651,-78.844607,,
6313,Angier Ave at Bungalow Ave,35.94963,-78.84415,C,Angier Ave at Bungalow Ave
6314,Angier Ave at Midway Ave (WB),35.96667,-78.85914,C,Angier Ave at Midway Ave (WB)
6315,Roxboro Rd at Foushee St,36.01658,-78.88992,B,Roxboro Rd at Foushee St
6316,W Morgan St at Foster St (Downtown YMCA),35.998214,-78.901496,C,W Morgan St at Foster St (Downtown YMCA
6317,Pettigrew St at Mangum St (EB),35.9940278,-78.9016102,B,Pettigrew St at Mangum St (EB)
6318,Pettigrew St at Roxboro St,35.99201,-78.89881,,
6319,Martin Luther King Jr Pkwy at Stratford Lakes Dr (WB),35.941419,-78.912389,C,Martin Luther King Jr Pkwy at Stratford
6320,Martin Luther King Jr Pkwy at Stratford Lakes Dr (EB),35.941049,-78.912265,C,Martin Luther King Jr Pkwy at Stratford
6322,Cornwallis Rd at Roxboro Rd,35.96455,-78.91784,B,Cornwallis Rd at Roxboro Rd
6330,Lakewood Ave at Fayetteville St,35.9863434,-78.8991975,B,Lakewood Ave at Fayetteville St
6331,Erwin Rd at Trent Dr (WB),36.008035,-78.934803,C,Erwin Rd at Trent Dr (WB)
6333,American Dr at Constitution Dr,36.016633,-78.966937,A,American Dr at Constitution Dr
6334,Chapel Dr at Duke University Rd (Alumni House),35.997915,-78.933508,C,Chapel Dr at Duke University Rd (Alumni
6335,Hillsborough Rd at Cole Mill Rd,36.022133,-78.953116,A,Hillsborough Rd at Cole Mill Rd (CVS)
6336,Gregson St at Main St (Brightleaf Square),35.999566,-78.909754,C,Gregson St at Main St (Brightleaf Squar
6337,Cornwallis Rd at Laurel Oaks Dr,35.9350502,-78.8920417,C,Cornwallis Rd at Laurel Oaks Dr (SB)
6338,NC 55 at Martin Luther King Jr Pkwy,35.93199,-78.88863,C,NC 55 at Martin Luther King Jr Pkwy
6339,NC 55 at Odyssey Dr (SB),35.92762,-78.8894,C,NC 55 at Odyssey Dr (SB)
6340,NC 55 at Carpenter Fletcher Rd (SB),35.9145746309,-78.8919422649,C,NC 55 at Carpenter Fletcher Rd (SB)
6344,Holloway St at Herbert St (WB),35.99184,-78.86486,B,Holloway St at Herbert St (WB)
6345,Taylor St at Driver St (Holton Career Center),35.988947,-78.879199,C,Taylor St at Driver St (Holton Career C
6347,Taylor St at Driver St (EB),35.988829,-78.877644,C,Taylor St at Driver St (EB)
6348,Holloway St at Durham Ridge Assisted Living,35.983396,-78.8297,C,Holloway St at Durham Ridge Assisted Li
6349,Mineral Springs Rd at Destrier Dr,35.991105,-78.817519,C,Mineral Springs Rd at Destrier Dr
6350,Freeman Rd at Mineral Springs Rd,35.994912,-78.815221,B,Freeman Rd at Mineral Springs Rd
6351,Ross Rd at Idlewood Rd,35.992538,-78.848785,C,Ross Rd at Idlewood Rd
6366,Carver St at Commons Blvd (EB),36.041285,-78.895036,C,Carver St at Commons Blvd (EB)
6375,Chapel Hill Rd at W Cornwallis Rd (Yates Church),35.974103,-78.936765,C,Chapel Hill Rd at W Cornwallis Rd (Yate
6379,Broad St at Main St (Whole Foods),36.007112,-78.919864,A,Broad St at Main St (Whole Foods)
6380,Main St at Campus Dr (EB),36.0033,-78.914666,B,Main St at Campus Dr (EB)
6383,E Main St at Morning Glory Ave (Golden Belt),35.989592,-78.891093,A,E Main St at Morning Glory Ave (Golden
6387,Main St at Gregson St (WB),35.999935,-78.909003,B,Main St at Gregson St (WB)
6389,Main St at Campus Dr (WB),36.00379,-78.91528,C,Main St at Campus Dr (WB)
